sample	library_name	read1	read2	location	time	temperature_degC	replicate	co_assembly
35m-t0-R1	SRR15048790	SRR15048790.sra_1.fastq.gz	SRR15048790.sra_2.fastq.gz	35m	t0	0	1	35m
35m-t0-R2	SRR15048789	SRR15048789.sra_1.fastq.gz	SRR15048789.sra_2.fastq.gz	35m	t0	0	2	35m
35m-t0-R3	SRR15048778	SRR15048778.sra_1.fastq.gz	SRR15048778.sra_2.fastq.gz	35m	t0	0	3	35m
35m-t1-R1	SRR15048767	SRR15048767.sra_1.fastq.gz	SRR15048767.sra_2.fastq.gz	35m	t1	3	1	NA
35m-t1-R2	SRR15048756	SRR15048756.sra_1.fastq.gz	SRR15048756.sra_2.fastq.gz	35m	t1	3	2	NA
35m-t1-R3	SRR15048745	SRR15048745.sra_1.fastq.gz	SRR15048745.sra_2.fastq.gz	35m	t1	3	3	NA
35m-t1-R4	SRR15048736	SRR15048736.sra_1.fastq.gz	SRR15048736.sra_2.fastq.gz	35m	t1	3	4	35m
35m-t2-R1	SRR15048735	SRR15048735.sra_1.fastq.gz	SRR15048735.sra_2.fastq.gz	35m	t2	6	1	35m
35m-t2-R2	SRR15048734	SRR15048734.sra_1.fastq.gz	SRR15048734.sra_2.fastq.gz	35m	t2	6	2	35m
35m-t2-R3	SRR15048733	SRR15048733.sra_1.fastq.gz	SRR15048733.sra_2.fastq.gz	35m	t2	6	3	35m
35m-t2-R4	SRR15048788	SRR15048788.sra_1.fastq.gz	SRR15048788.sra_2.fastq.gz	35m	t2	6	4	35m
45m-t0-R1	SRR15048787	SRR15048787.sra_1.fastq.gz	SRR15048787.sra_2.fastq.gz	45m	t0	0	1	45m
45m-t0-R2	SRR15048786	SRR15048786.sra_1.fastq.gz	SRR15048786.sra_2.fastq.gz	45m	t0	0	2	45m
45m-t0-R3	SRR15048785	SRR15048785.sra_1.fastq.gz	SRR15048785.sra_2.fastq.gz	45m	t0	0	3	45m
45m-t1-R1	SRR15048784	SRR15048784.sra_1.fastq.gz	SRR15048784.sra_2.fastq.gz	45m	t1	3	1	45m
45m-t1-R2	SRR15048783	SRR15048783.sra_1.fastq.gz	SRR15048783.sra_2.fastq.gz	45m	t1	3	2	45m
45m-t1-R3	SRR15048782	SRR15048782.sra_1.fastq.gz	SRR15048782.sra_2.fastq.gz	45m	t1	3	3	45m
45m-t1-R4	SRR15048781	SRR15048781.sra_1.fastq.gz	SRR15048781.sra_2.fastq.gz	45m	t1	3	4	45m
45m-t2-R1	SRR15048780	SRR15048780.sra_1.fastq.gz	SRR15048780.sra_2.fastq.gz	45m	t2	6	1	45m
45m-t2-R2	SRR15048779	SRR15048779.sra_1.fastq.gz	SRR15048779.sra_2.fastq.gz	45m	t2	6	2	45m
45m-t2-R3	SRR15048777	SRR15048777.sra_1.fastq.gz	SRR15048777.sra_2.fastq.gz	45m	t2	6	3	45m
45m-t2-R4	SRR15048776	SRR15048776.sra_1.fastq.gz	SRR15048776.sra_2.fastq.gz	45m	t2	6	4	45m
60m-t0-R1	SRR15048775	SRR15048775.sra_1.fastq.gz	SRR15048775.sra_2.fastq.gz	60m	t0	0	1	60m
60m-t0-R2	SRR15048774	SRR15048774.sra_1.fastq.gz	SRR15048774.sra_2.fastq.gz	60m	t0	0	2	60m
60m-t0-R3	SRR15048773	SRR15048773.sra_1.fastq.gz	SRR15048773.sra_2.fastq.gz	60m	t0	0	3	60m
60m-t1-R1	SRR15048772	SRR15048772.sra_1.fastq.gz	SRR15048772.sra_2.fastq.gz	60m	t1	3	1	60m
60m-t1-R2	SRR15048771	SRR15048771.sra_1.fastq.gz	SRR15048771.sra_2.fastq.gz	60m	t1	3	2	60m
60m-t1-R3	SRR15048770	SRR15048770.sra_1.fastq.gz	SRR15048770.sra_2.fastq.gz	60m	t1	3	3	60m
60m-t1-R4	SRR15048769	SRR15048769.sra_1.fastq.gz	SRR15048769.sra_2.fastq.gz	60m	t1	3	4	60m
60m-t2-R1	SRR15048768	SRR15048768.sra_1.fastq.gz	SRR15048768.sra_2.fastq.gz	60m	t2	6	1	60m
60m-t2-R2	SRR15048766	SRR15048766.sra_1.fastq.gz	SRR15048766.sra_2.fastq.gz	60m	t2	6	2	60m
60m-t2-R3	SRR15048765	SRR15048765.sra_1.fastq.gz	SRR15048765.sra_2.fastq.gz	60m	t2	6	3	60m
60m-t2-R4	SRR15048764	SRR15048764.sra_1.fastq.gz	SRR15048764.sra_2.fastq.gz	60m	t2	6	4	60m
83m-t0-R1	SRR15048763	SRR15048763.sra_1.fastq.gz	SRR15048763.sra_2.fastq.gz	83m	t0	0	1	83m
83m-t0-R2	SRR15048762	SRR15048762.sra_1.fastq.gz	SRR15048762.sra_2.fastq.gz	83m	t0	0	2	83m
83m-t0-R3	SRR15048761	SRR15048761.sra_1.fastq.gz	SRR15048761.sra_2.fastq.gz	83m	t0	0	3	83m
83m-t1-R1	SRR15048760	SRR15048760.sra_1.fastq.gz	SRR15048760.sra_2.fastq.gz	83m	t1	3	1	NA
83m-t1-R2	SRR15048759	SRR15048759.sra_1.fastq.gz	SRR15048759.sra_2.fastq.gz	83m	t1	3	2	NA
83m-t1-R3	SRR15048758	SRR15048758.sra_1.fastq.gz	SRR15048758.sra_2.fastq.gz	83m	t1	3	3	NA
83m-t1-R4	SRR15048757	SRR15048757.sra_1.fastq.gz	SRR15048757.sra_2.fastq.gz	83m	t1	3	4	83m
83m-t2-R1	SRR15048755	SRR15048755.sra_1.fastq.gz	SRR15048755.sra_2.fastq.gz	83m	t2	6	1	83m
83m-t2-R2	SRR15048754	SRR15048754.sra_1.fastq.gz	SRR15048754.sra_2.fastq.gz	83m	t2	6	2	83m
83m-t2-R3	SRR15048753	SRR15048753.sra_1.fastq.gz	SRR15048753.sra_2.fastq.gz	83m	t2	6	3	83m
83m-t2-R4	SRR15048752	SRR15048752.sra_1.fastq.gz	SRR15048752.sra_2.fastq.gz	83m	t2	6	4	83m
CTRL-R1	SRR15048751	SRR15048751.sra_1.fastq.gz	SRR15048751.sra_2.fastq.gz	NA	NA	NA	NA	NA
CTRL-R2	SRR15048750	SRR15048750.sra_1.fastq.gz	SRR15048750.sra_2.fastq.gz	NA	NA	NA	NA	NA
CTRL-R3	SRR15048749	SRR15048749.sra_1.fastq.gz	SRR15048749.sra_2.fastq.gz	NA	NA	NA	NA	NA
NT-t0-R1	SRR15048748	SRR15048748.sra_1.fastq.gz	SRR15048748.sra_2.fastq.gz	NT	t0	0	1	NT
NT-t0-R2	SRR15048747	SRR15048747.sra_1.fastq.gz	SRR15048747.sra_2.fastq.gz	NT	t0	0	2	NT
NT-t0-R3	SRR15048746	SRR15048746.sra_1.fastq.gz	SRR15048746.sra_2.fastq.gz	NT	t0	0	3	NT
NT-t1-R1	SRR15048744	SRR15048744.sra_1.fastq.gz	SRR15048744.sra_2.fastq.gz	NT	t1	3	1	NT
NT-t1-R2	SRR15048743	SRR15048743.sra_1.fastq.gz	SRR15048743.sra_2.fastq.gz	NT	t1	3	2	NT
NT-t1-R3	SRR15048742	SRR15048742.sra_1.fastq.gz	SRR15048742.sra_2.fastq.gz	NT	t1	3	3	NT
NT-t1-R4	SRR15048741	SRR15048741.sra_1.fastq.gz	SRR15048741.sra_2.fastq.gz	NT	t1	3	4	NT
NT-t2-R1	SRR15048740	SRR15048740.sra_1.fastq.gz	SRR15048740.sra_2.fastq.gz	NT	t2	6	1	NT
NT-t2-R2	SRR15048739	SRR15048739.sra_1.fastq.gz	SRR15048739.sra_2.fastq.gz	NT	t2	6	2	NT
