"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX11359401","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","1403","1","11461508","2315224616","35m.t2.R3","WGS","METAGENOMIC","PCR"
"SRX11359400","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","1893.87","1","15875655","3206882310","35m.t2.R2","WGS","METAGENOMIC","PCR"
"SRX11359399","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","2091.69","1","16461675","3325258350","35m.t2.R1","WGS","METAGENOMIC","PCR"
"SRX11359398","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","1554.21","1","12707752","2566965904","35m.t1.R4","WGS","METAGENOMIC","PCR"
"SRX11359397","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","6224.35","1","40255074","8131524948","NT.t2.R4","WGS","METAGENOMIC","PCR"
"SRX11359396","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","9785.6","1","66816602","13496953604","NT.t2.R3","WGS","METAGENOMIC","PCR"
"SRX11359395","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","2790.41","1","17978388","3631634376","NT.t2.R2","WGS","METAGENOMIC","PCR"
"SRX11359394","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","2852.4","1","18499839","3736967478","NT.t2.R1","WGS","METAGENOMIC","PCR"
"SRX11359393","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","2476.17","1","16044457","3240980314","NT.t1.R4","WGS","METAGENOMIC","PCR"
"SRX11359392","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","1307.23","1","8883612","1794489624","NT.t1.R3","WGS","METAGENOMIC","PCR"
